RA,Dec,U_MAG_COG,R_MAG_COG,U_MAGERR_COG,R_MAGERR_COG,U_MAG_APAUTO,R_MAG_APAUTO,U_MAGERR_APAUTO,R_MAGERR_APAUTO,U_IQ,R_IQ,R_A_WORLD,R_B_WORLD,R_THETA_J2000,R_ISOAREA_IMAGE,R_MU_MAX,R_FLUX_RADIUS,U_FLAGS,R_FLAGS,R_MAG_2ARC,R_MAGERR_2ARC,U_MAGLIM_2ARC,R_MAGLIM_2ARC,U_MAGLIM_APAUTO,R_MAGLIM_APAUTO,U_MAGLIM_COG,R_MAGLIM_COG,R_MAG_APER_5,R_MAG_APER_10,R_MAG_APER_15,R_MAG_APER_20,g_wrp_kron,r_wrp_kron,i_wrp_kron,y_wrp_kron,z_wrp_kron,g_wrp_kron_err,r_wrp_kron_err,i_wrp_kron_err,y_wrp_kron_err,z_wrp_kron_err,g_wrp_psf,r_wrp_psf,i_wrp_psf,y_wrp_psf,z_wrp_psf,g_wrp_psf_err,r_wrp_psf_err,i_wrp_psf_err,y_wrp_psf_err,z_wrp_psf_err,GC_Prob
189.9783147,32.5325789,23.8169683,22.14848421,0.064,0.009,23.4609683,22.15848421,0.167,0.029,0.7754,0.6198,0.000102618,9.84E-05,-66.6,70,21.3981,1.911,0,0,22.21548421,0.019,24.544,24.942,23.619,24.441,24.734,25.635,22.60658421,22.22798421,22.15238421,22.06838421,22.71092694,22.21087021,21.95104119,20.79042882,22.34192391,0.2809702,0.16282865,0.23953842,0.5529664,0.3453641,22.57207394,22.07147021,21.89558119,21.40453382,21.95978191,0.12156006,0.07208283,0.072335795,0.18881065,0.08429002,0.55733807
189.9538645,32.5598867,22.70976398,21.04683503,0.024,0.004,22.73776398,21.05383503,0.09,0.01,0.7754,0.6198,0.00011024,0.000107939,-79.89,107,20.31,1.906,0,0,21.11483503,0.008,24.544,24.942,23.619,24.441,24.734,25.635,21.50813503,21.12513503,21.04043503,21.01163503,21.64653853,21.29271503,21.06158345,20.72516169,21.00448908,0.083310515,0.046860583,0.054745857,0.14601661,0.08625631,21.55822153,21.05135203,20.88469845,20.75859869,20.85022108,0.05413455,0.032014005,0.027210582,0.076979786,0.0468798,0.368137118
189.9524083,32.5880695,24.27560326,22.75920935,0.092,0.015,24.27360326,22.71020935,0.334,0.043,0.7754,0.6198,0.000105234,9.79E-05,86.67,57,22.3123,2.225,0,0,22.84320935,0.031,24.544,24.942,23.619,24.441,24.734,25.635,23.37130935,22.85650935,22.71390935,22.80520935,22.34560411,22.36184535,22.35555299,20.94044361,22.27083225,0.30858204,0.20856827,0.27797475,0.37319073,0.5669645,23.01551911,22.76834935,22.39649099,21.43876461,22.60263125,0.17812358,0.07528796,0.13733266,0.18435852,0.09355338,0.00053326
189.9078031,32.6332592,23.42095179,21.73485818,0.043,0.006,23.30495179,21.74685818,0.138,0.018,0.7754,0.6198,0.000106523,0.000105424,73.77,92,21.0808,1.897,0,0,21.80485818,0.012,24.544,24.942,23.619,24.441,24.734,25.635,22.19475818,21.81615818,21.71835818,21.64745818,22.5594565,21.63728918,21.62963771,,20.92410315,0.12014353,0.09307214,0.14904106,-0.7005552,0.23121427,22.1653165,21.73749418,21.53954171,21.08491856,21.65820615,0.081596255,0.042900734,0.066966176,0.14218657,0.12535001,0.287813097
189.9762012,32.3715632,24.14940187,22.33379601,0.072,0.01,24.15640187,22.30879601,0.255,0.032,0.7386,0.6451,0.000105583,0.000100628,88.93,73,21.7044,1.977,0,0,22.41779601,0.021,24.676,24.939,23.751,24.384,24.938,25.61,22.81239601,22.42839601,22.29699601,22.32579601,22.95566316,22.42772601,22.04814897,20.3399734,22.38882698,0.21644287,0.18944578,0.17189631,0.29817018,0.42191896,22.93414416,22.33631801,22.08874897,21.3556494,21.96507398,0.058782212,0.092051454,0.085487045,0.22402099,0.12376658,0.316493056
189.9207349,32.4362036,22.7634663,21.24421361,0.019,0.004,22.6644663,21.24321361,0.06,0.011,0.7386,0.6595,0.000115884,0.000111128,66.15,113,20.7934,2.094,0,0,21.32221361,0.008,24.774,25.073,23.849,24.502,24.964,25.633,21.79081361,21.33391361,21.23531361,21.24841361,21.71437778,21.53059161,21.41724372,20.81452664,21.14561134,0.08109946,0.082934156,0.075021856,0.18022093,0.12268609,21.66461278,21.28679061,21.13188572,20.91940264,21.00987234,0.058487963,0.038010884,0.033668697,0.13638763,0.08783109,0.019668372
189.9931296,32.4479766,24.1265509,22.72587634,0.065,0.013,24.1565509,22.71587634,0.236,0.039,0.7386,0.6227,0.000112632,0.000104244,-88.84,76,22.3181,2.324,0,0,22.80287634,0.026,24.774,25.076,23.849,24.435,24.964,25.531,23.35987634,22.81927634,22.74697634,22.70127634,23.70548728,22.98203434,22.87697262,21.92537115,21.96484738,0.6967071,0.27376646,0.30255368,1.0670692,0.18808667,23.31584928,22.83315834,22.61736662,21.81482015,21.86786838,0.19198059,0.14712434,0.14734927,0.27840024,0.079729155,0.308944621
189.8983457,32.4349096,22.95098192,21.30895251,0.024,0.004,23.07398192,21.29495251,0.093,0.013,0.7334,0.6694,0.000119259,0.000116032,-2.12,123,20.8833,2.138,0,0,21.39595251,0.009,24.685,24.952,23.76,24.363,24.875,25.573,21.89025251,21.40845251,21.28755251,21.24315251,21.65674135,21.65052951,21.18751183,20.96874091,21.02595602,0.077109024,0.08099175,0.055698507,0.15650436,0.10314417,21.77718535,21.42307851,21.15827183,20.86785991,20.99969202,0.08003469,0.036966007,0.047326084,0.119399466,0.05928126,0.077643425
189.996309,32.3143204,21.77001286,20.19712535,0.01,0.002,21.75901286,20.19312535,0.034,0.005,0.7248,0.6451,0.000126496,0.000121961,53.18,204,19.5467,2.031,0,0,20.27512535,0.004,24.415,24.939,23.49,24.384,24.605,25.61,20.69352535,20.28632535,20.17922535,20.15932535,20.85125423,20.29216835,20.10066514,20.2758502,20.09434702,0.02816073,0.032035053,0.015163806,0.08899094,0.06749813,20.70184223,20.21091335,19.99556014,19.9600282,19.93710902,0.021587325,0.017427089,0.012520006,0.05366552,0.028438373,0.243272316
189.9266413,32.3155272,22.26274884,20.97198304,0.016,0.003,22.28874884,20.95198304,0.055,0.008,0.7248,0.6595,0.000127103,0.000122504,85.65,171,20.4433,2.131,0,0,21.05598304,0.006,24.415,25.073,23.49,24.502,24.605,25.633,21.51038304,21.06978304,20.93708304,20.92368304,21.66950351,21.57087604,21.44829354,20.0762913,21.52498236,0.11074113,0.09579374,0.14941223,0.23491688,0.19355975,21.63215151,21.39025304,21.21425354,20.8291473,21.27946036,0.056632906,0.07248543,0.06705243,0.0813039,0.11912862,2.92E-05
